Best for data1.txt H=4: error=9, iterations=17192
Iteration 8000: loss 0.05296 errors 0
Iteration 9000: loss 0.04916 errors 0
Iteration 10000: loss 0.04597 errors 0
Iteration 11000: loss 0.04323 errors 0
Iteration 12000: loss 0.04086 errors 0
Iteration 13000: loss 0.03878 errors 0
Iteration 14000: loss 0.03689 errors 0
Iteration 15000: loss 0.03521 errors 0
Iteration 16000: loss 0.03375 errors 0
Iteration 17000: loss 0.03242 errors 0
Iteration 18000: loss 0.03122 errors 0
Iteration 19000: loss 0.03012 errors 0
Iteration 20000: loss 0.02911 errors 0
Iteration 1000: loss 0.48454 errors 3
Iteration 2000: loss 0.41837 errors 3
Iteration 3000: loss 0.37892 errors 3
Iteration 4000: loss 0.35110 errors 3
Iteration 5000: loss 0.32962 errors 3
Iteration 6000: loss 0.31200 errors 3
Iteration 7000: loss 0.29690 errors 3
Iteration 8000: loss 0.28351 errors 3
Iteration 9000: loss 0.27136 errors 3
Iteration 10000: loss 0.26015 errors 3
Iteration 11000: loss 0.24973 errors 3
Iteration 12000: loss 0.23999 errors 3
Iteration 13000: loss 0.23088 errors 3
Iteration 14000: loss 0.22235 errors 3
Iteration 15000: loss 0.21446 errors 3
Iteration 16000: loss 0.20710 errors 3
Iteration 17000: loss 0.20025 errors 3
Iteration 18000: loss 0.19389 errors 3
Iteration 19000: loss 0.18805 errors 3
Iteration 20000: loss 0.18263 errors 3
Iteration 1000: loss 0.38750 errors 3
Iteration 2000: loss 0.30838 errors 3
Iteration 3000: loss 0.26042 errors 3
Iteration 4000: loss 0.22872 errors 3
Iteration 5000: loss 0.20713 errors 3
Iteration 6000: loss 0.19075 errors 3
Iteration 7000: loss 0.17876 errors 3
Iteration 8000: loss 0.16916 errors 3
Iteration 9000: loss 0.16123 errors 3
Iteration 10000: loss 0.15457 errors 3
Iteration 11000: loss 0.14892 errors 3
Iteration 12000: loss 0.14441 errors 3
Iteration 13000: loss 0.14044 errors 3
Iteration 14000: loss 0.13693 errors 3
Iteration 15000: loss 0.13380 errors 3
Iteration 16000: loss 0.13098 errors 3
Iteration 17000: loss 0.12844 errors 3
Iteration 18000: loss 0.12613 errors 3
Iteration 19000: loss 0.12402 errors 3
Iteration 20000: loss 0.12209 errors 3
Best for data4.txt H=4: error=0, iterations=605
Iteration 1000: loss 0.09463 errors 0
Iteration 2000: loss 0.06142 errors 0
Iteration 3000: loss 0.04767 errors 0
Iteration 4000: loss 0.03960 errors 0
Iteration 5000: loss 0.03339 errors 0
Iteration 6000: loss 0.02944 errors 0
Iteration 7000: loss 0.02651 errors 0
Iteration 8000: loss 0.02422 errors 0
Iteration 9000: loss 0.02237 errors 0
Iteration 10000: loss 0.02083 errors 0
Iteration 11000: loss 0.01954 errors 0
Iteration 12000: loss 0.01843 errors 0
Iteration 13000: loss 0.01747 errors 0
Iteration 14000: loss 0.01662 errors 0
Iteration 15000: loss 0.01587 errors 0
Iteration 16000: loss 0.01520 errors 0
Iteration 17000: loss 0.01460 errors 0
Iteration 18000: loss 0.01405 errors 0
Iteration 19000: loss 0.01355 errors 0
Iteration 20000: loss 0.01310 errors 0
Iteration 1000: loss 0.10056 errors 1
Iteration 2000: loss 0.07212 errors 0
Iteration 3000: loss 0.05382 errors 0
Iteration 4000: loss 0.04458 errors 0
Iteration 5000: loss 0.03859 errors 0
Iteration 6000: loss 0.03435 errors 0
Iteration 7000: loss 0.03112 errors 0
Iteration 8000: loss 0.02857 errors 0
Iteration 9000: loss 0.02648 errors 0
Iteration 10000: loss 0.02474 errors 0
Iteration 11000: loss 0.02327 errors 0
Iteration 12000: loss 0.02200 errors 0
Iteration 13000: loss 0.02089 errors 0
Iteration 14000: loss 0.01991 errors 0
Iteration 15000: loss 0.01904 errors 0
Iteration 16000: loss 0.01827 errors 0
Iteration 17000: loss 0.01756 errors 0
Iteration 18000: loss 0.01654 errors 0
Iteration 19000: loss 0.01543 errors 0
Iteration 20000: loss 0.01467 errors 0
Iteration 1000: loss 0.10203 errors 0
Iteration 2000: loss 0.06556 errors 0
Iteration 3000: loss 0.05075 errors 0
Iteration 4000: loss 0.04240 errors 0
Iteration 5000: loss 0.03688 errors 0
Iteration 6000: loss 0.03289 errors 0
Iteration 7000: loss 0.02985 errors 0
Iteration 8000: loss 0.02743 errors 0
Iteration 9000: loss 0.02545 errors 0
Iteration 10000: loss 0.02380 errors 0
Iteration 11000: loss 0.02239 errors 0
Iteration 12000: loss 0.02117 errors 0
Iteration 13000: loss 0.01978 errors 0
Iteration 14000: loss 0.01867 errors 0
Iteration 15000: loss 0.01774 errors 0
Iteration 16000: loss 0.01695 errors 0
Iteration 17000: loss 0.01625 errors 0
Iteration 18000: loss 0.01563 errors 0
Iteration 19000: loss 0.01507 errors 0
Iteration 20000: loss 0.01455 errors 0
Iteration 1000: loss 0.26985 errors 3
Iteration 2000: loss 0.19712 errors 3
Iteration 3000: loss 0.16671 errors 3
Iteration 4000: loss 0.14966 errors 3
Iteration 5000: loss 0.13859 errors 3
Iteration 6000: loss 0.13073 errors 3
Iteration 7000: loss 0.12481 errors 3
Iteration 8000: loss 0.12017 errors 3
Iteration 9000: loss 0.11642 errors 3
Iteration 10000: loss 0.11331 errors 3
Iteration 11000: loss 0.11069 errors 3
Iteration 12000: loss 0.10843 errors 3
Iteration 13000: loss 0.10648 errors 3
Iteration 14000: loss 0.10476 errors 3
Iteration 15000: loss 0.10323 errors 3
Iteration 16000: loss 0.10187 errors 3
Iteration 17000: loss 0.10064 errors 3
Iteration 18000: loss 0.09953 errors 3
Iteration 19000: loss 0.09852 errors 3
Iteration 20000: loss 0.09760 errors 3
Iteration 1000: loss 0.07968 errors 0
Iteration 2000: loss 0.05142 errors 0
Iteration 3000: loss 0.03981 errors 0
Iteration 4000: loss 0.03319 errors 0
Iteration 5000: loss 0.02880 errors 0
Iteration 6000: loss 0.02564 errors 0
Iteration 7000: loss 0.02324 errors 0
Iteration 8000: loss 0.02133 errors 0
Iteration 9000: loss 0.01978 errors 0
Iteration 10000: loss 0.01848 errors 0
Iteration 11000: loss 0.01738 errors 0
Iteration 12000: loss 0.01643 errors 0
Iteration 13000: loss 0.01560 errors 0
Iteration 14000: loss 0.01487 errors 0
Iteration 15000: loss 0.01421 errors 0
Iteration 16000: loss 0.01363 errors 0
Iteration 17000: loss 0.01311 errors 0
Iteration 18000: loss 0.01263 errors 0
Iteration 19000: loss 0.01219 errors 0
Iteration 20000: loss 0.01179 errors 0
Best for data4.txt H=8: error=0, iterations=92
Iteration 1000: loss 0.63744 errors 20
Iteration 2000: loss 0.63704 errors 20
Iteration 3000: loss 0.63685 errors 20
Iteration 4000: loss 0.63675 errors 20
Iteration 1000: loss 0.45810 errors 15
Iteration 2000: loss 0.42425 errors 14
Iteration 3000: loss 0.39908 errors 13
Iteration 4000: loss 0.37996 errors 12
Iteration 5000: loss 0.36231 errors 12
Iteration 6000: loss 0.34437 errors 12
Iteration 7000: loss 0.32450 errors 11
Iteration 8000: loss 0.30454 errors 10
